GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US02013000100,02013000100,"Census Tract 1, Aleutians East Borough, Alaska",3296,*****
1400000US02016000100,02016000100,"Census Tract 1, Aleutians West Census Area, Alaska",1114,229
1400000US02016000200,02016000200,"Census Tract 2, Aleutians West Census Area, Alaska",4536,229
1400000US02020000101,02020000101,"Census Tract 1.01, Anchorage Municipality, Alaska",6267,536
1400000US02020000102,02020000102,"Census Tract 1.02, Anchorage Municipality, Alaska",5396,626
1400000US02020000201,02020000201,"Census Tract 2.01, Anchorage Municipality, Alaska",4387,391
1400000US02020000202,02020000202,"Census Tract 2.02, Anchorage Municipality, Alaska",6282,507
1400000US02020000203,02020000203,"Census Tract 2.03, Anchorage Municipality, Alaska",11898,711
1400000US02020000204,02020000204,"Census Tract 2.04, Anchorage Municipality, Alaska",3815,494
1400000US02020000300,02020000300,"Census Tract 3, Anchorage Municipality, Alaska",8822,596
1400000US02020000400,02020000400,"Census Tract 4, Anchorage Municipality, Alaska",5519,408
1400000US02020000500,02020000500,"Census Tract 5, Anchorage Municipality, Alaska",2057,272
1400000US02020000600,02020000600,"Census Tract 6, Anchorage Municipality, Alaska",7028,799
1400000US02020000701,02020000701,"Census Tract 7.01, Anchorage Municipality, Alaska",5569,511
1400000US02020000702,02020000702,"Census Tract 7.02, Anchorage Municipality, Alaska",5344,444
1400000US02020000703,02020000703,"Census Tract 7.03, Anchorage Municipality, Alaska",5980,1004
1400000US02020000801,02020000801,"Census Tract 8.01, Anchorage Municipality, Alaska",7088,828
1400000US02020000802,02020000802,"Census Tract 8.02, Anchorage Municipality, Alaska",4570,439
1400000US02020000901,02020000901,"Census Tract 9.01, Anchorage Municipality, Alaska",5615,526
1400000US02020000902,02020000902,"Census Tract 9.02, Anchorage Municipality, Alaska",2848,321
1400000US02020001000,02020001000,"Census Tract 10, Anchorage Municipality, Alaska",3649,471
1400000US02020001100,02020001100,"Census Tract 11, Anchorage Municipality, Alaska",850,138
1400000US02020001200,02020001200,"Census Tract 12, Anchorage Municipality, Alaska",3604,270
1400000US02020001300,02020001300,"Census Tract 13, Anchorage Municipality, Alaska",3024,241
1400000US02020001400,02020001400,"Census Tract 14, Anchorage Municipality, Alaska",5050,504
1400000US02020001500,02020001500,"Census Tract 15, Anchorage Municipality, Alaska",4967,307
1400000US02020001601,02020001601,"Census Tract 16.01, Anchorage Municipality, Alaska",4195,443
1400000US02020001602,02020001602,"Census Tract 16.02, Anchorage Municipality, Alaska",4396,416
1400000US02020001701,02020001701,"Census Tract 17.01, Anchorage Municipality, Alaska",7362,671
1400000US02020001702,02020001702,"Census Tract 17.02, Anchorage Municipality, Alaska",5279,425
1400000US02020001731,02020001731,"Census Tract 17.31, Anchorage Municipality, Alaska",5568,501
1400000US02020001732,02020001732,"Census Tract 17.32, Anchorage Municipality, Alaska",6184,517
1400000US02020001801,02020001801,"Census Tract 18.01, Anchorage Municipality, Alaska",4817,455
1400000US02020001802,02020001802,"Census Tract 18.02, Anchorage Municipality, Alaska",5513,563
1400000US02020001900,02020001900,"Census Tract 19, Anchorage Municipality, Alaska",4406,515
1400000US02020002000,02020002000,"Census Tract 20, Anchorage Municipality, Alaska",3622,484
1400000US02020002100,02020002100,"Census Tract 21, Anchorage Municipality, Alaska",4090,497
1400000US02020002201,02020002201,"Census Tract 22.01, Anchorage Municipality, Alaska",5118,422
1400000US02020002202,02020002202,"Census Tract 22.02, Anchorage Municipality, Alaska",3095,423
1400000US02020002301,02020002301,"Census Tract 23.01, Anchorage Municipality, Alaska",7334,561
1400000US02020002302,02020002302,"Census Tract 23.02, Anchorage Municipality, Alaska",5061,448
1400000US02020002303,02020002303,"Census Tract 23.03, Anchorage Municipality, Alaska",8608,576
